step,loss
0,0.907943
100,0.827198
200,0.82684
300,0.82676
400,0.348783
500,0.407621
600,0.389202
700,0.351476
800,0.393837
900,0.375375
1000,0.356817
1100,0.296002
1200,0.373516
1300,0.396052
1400,0.399407
1500,0.36824
1600,0.419456
1700,0.419348
1800,0.403354
1900,0.36796
2000,0.413672
2100,0.326318
2200,0.389573
2300,0.329232
2400,0.374367
2500,0.348743
2600,0.373408
2700,0.385083
2800,0.401884
2900,0.37322
3000,0.370059
3100,0.400645
3200,0.304892
3300,0.351229
3400,0.355548
3500,0.3715
3600,0.33452
3700,0.342653
3800,0.398216
3900,0.334173
4000,0.287177
4100,0.354185
4200,0.270337
4300,0.382844
4400,0.388235
4500,0.342856
4600,0.34407
4700,0.346085
4800,0.325986
4900,0.380946
5000,0.373107
5100,0.375624
5200,0.358628
5300,0.281193
5400,0.314839
5500,0.272249
5600,0.27176
5700,0.33065
5800,0.348755
5900,0.306398
6000,0.343078
6100,0.296415
6200,0.281591
6300,0.307104
6400,0.360172
6500,0.333259
6600,0.293781
6700,0.314387
6800,0.334154
6900,0.300054
7000,0.355449
7100,0.287704
7200,0.317464
7300,0.342965
7400,0.331182
7500,0.325514
7600,0.300899
7700,0.300416
7800,0.358969
7900,0.314934
8000,0.400714
8100,0.348216
8200,0.38716
8300,0.297914
8400,0.357579
8500,0.404688
8600,0.294895
8700,0.343937
8800,0.298473
8900,0.406093
9000,0.361671
9100,0.373348
9200,0.335933
9300,0.331793
9400,0.235736
9500,0.296419
9600,0.293076
9700,0.294917
9800,0.367081
9900,0.239113
10000,0.341314
10100,0.316111
10200,0.30422
10300,0.335097
10400,0.289355
10500,0.311702
10600,0.246981
10700,0.272061
10800,0.339529
10900,0.301959
11000,0.325421
11100,0.328538
11200,0.291892
11300,0.337581
11400,0.321532
11500,0.36809
11600,0.307204
11700,0.286319
11800,0.291846
11900,0.37107
12000,0.289498
12100,0.378005
12200,0.33744
12300,0.249147
12400,0.343563
12500,0.306364
12600,0.299168
12700,0.328526
12800,0.324635
12900,0.299538
13000,0.285449
13100,0.289384
13200,0.264033
13300,0.297564
13400,0.262372
13500,0.282943
13600,0.365376
13700,0.337491
13800,0.301656
13900,0.301253
14000,0.320716
14100,0.296712
14200,0.301329
14300,0.32837
14400,0.366811
14500,0.27848
14600,0.315777
14700,0.360339
14800,0.27608
14900,0.32728
15000,0.325269
15100,0.31302
15200,0.327741
15300,0.295995
15400,0.328008
15500,0.32073
15600,0.322634
15700,0.300699
15800,0.274298
15900,0.264283
16000,0.289542
16100,0.33493
16200,0.311443
16300,0.317696
16400,0.324649
16500,0.261782
16600,0.329419
16700,0.307331
16800,0.378513
16900,0.304467
17000,0.306691
17100,0.280157
17200,0.286704
17300,0.262345
17400,0.256681
17500,0.273137
17600,0.322739
17700,0.264393
17800,0.263344
17900,0.250924
18000,0.336711
18100,0.356931
18200,0.318572
18300,0.304501
18400,0.323567
18500,0.389201
18600,0.274664
18700,0.340089
18800,0.241556
18900,0.318205
19000,0.292592
19100,0.317663
19200,0.326703
19300,0.278286
19400,0.246925
19500,0.347337
19600,0.312694
19700,0.254452
19800,0.234106
19900,0.258618
20000,0.303571
20100,0.292558
20200,0.306302
20300,0.289148
20400,0.320184
20500,0.310479
20600,0.228599
20700,0.245552
20800,0.270395
20900,0.27292
21000,0.281067
21100,0.326845
21200,0.257045
21300,0.332682
21400,0.264919
21500,0.342649
21600,0.296489
21700,0.327655
21800,0.375165
21900,0.265837
22000,0.3167
22100,0.268211
22200,0.246559
22300,0.274585
22400,0.26549
22500,0.344986
22600,0.283222
22700,0.247241
22800,0.231311
22900,0.279792
23000,0.2288
23100,0.246287
23200,0.31083
23300,0.299793
23400,0.273202
23500,0.301575
23600,0.350516
23700,0.368115
23800,0.289943
23900,0.307154
24000,0.255758
24100,0.311378
24200,0.328517
24300,0.277346
24400,0.310202
24500,0.247453
24600,0.227243
24700,0.241766
24800,0.317213
24900,0.300411
25000,0.285209
25100,0.289354
25200,0.276167
25300,0.323921
25400,0.303984
25500,0.229635
25600,0.236802
25700,0.364332
25800,0.250657
25900,0.352531
26000,0.279516
26100,0.215378
26200,0.273489
26300,0.30158
26400,0.26538
26500,0.292754
26600,0.322031
26700,0.352107
26800,0.282693
26900,0.350822
27000,0.284699
27100,0.299876
27200,0.290349
27300,0.265717
27400,0.318427
27500,0.322462
27600,0.322909
27700,0.300502
27800,0.289884
27900,0.318107
28000,0.324731
28100,0.329535
28200,0.311103
28300,0.2567
28400,0.24326
28500,0.232722
28600,0.271653
28700,0.306327
28800,0.332469
28900,0.239154
29000,0.297419
29100,0.280944
29200,0.291551
29300,0.250204
29400,0.265742
29500,0.289067
29600,0.322231
29700,0.250985
29800,0.270167
29900,0.317699
30000,0.277516
30100,0.314291
30200,0.209477
30300,0.357228
30400,0.315191
30500,0.291987
30600,0.299489
30700,0.214668
30800,0.326117
30900,0.285818
31000,0.270302
31100,0.254346
31200,0.272851
