step,train_acc
0,0.375
100,0.21875
200,0.34375
300,0.15625
400,0.5625
500,0.40625
600,0.40625
700,0.5625
800,0.34375
900,0.40625
1000,0.46875
1100,0.53125
1200,0.4375
1300,0.46875
1400,0.375
1500,0.375
1600,0.34375
1700,0.375
1800,0.3125
1900,0.4375
2000,0.34375
2100,0.5625
2200,0.375
2300,0.59375
2400,0.59375
2500,0.40625
2600,0.4375
2700,0.46875
2800,0.4375
2900,0.4375
3000,0.53125
3100,0.46875
3200,0.59375
3300,0.5625
3400,0.5
3500,0.4375
3600,0.46875
3700,0.5
3800,0.34375
3900,0.59375
4000,0.53125
4100,0.46875
4200,0.65625
4300,0.5
4400,0.46875
4500,0.5
4600,0.5
4700,0.5
4800,0.5625
4900,0.46875
5000,0.4375
5100,0.46875
5200,0.4375
5300,0.6875
5400,0.5625
5500,0.6875
5600,0.625
5700,0.5
5800,0.625
5900,0.46875
6000,0.4375
6100,0.625
6200,0.625
6300,0.53125
6400,0.46875
6500,0.46875
6600,0.5625
6700,0.53125
6800,0.5
6900,0.5625
7000,0.5
7100,0.625
7200,0.59375
7300,0.46875
7400,0.46875
7500,0.5625
7600,0.46875
7700,0.65625
7800,0.4375
7900,0.5
8000,0.34375
8100,0.5
8200,0.40625
8300,0.625
8400,0.4375
8500,0.34375
8600,0.625
8700,0.5
8800,0.53125
8900,0.375
9000,0.53125
9100,0.46875
9200,0.53125
9300,0.4375
9400,0.6875
9500,0.59375
9600,0.59375
9700,0.625
9800,0.53125
9900,0.65625
10000,0.46875
10100,0.5
10200,0.5625
10300,0.4375
10400,0.65625
10500,0.5625
10600,0.65625
10700,0.65625
10800,0.53125
10900,0.59375
11000,0.5
11100,0.53125
11200,0.5625
11300,0.5625
11400,0.46875
11500,0.46875
11600,0.5625
11700,0.625
11800,0.625
11900,0.46875
12000,0.53125
12100,0.46875
12200,0.5
12300,0.6875
12400,0.46875
12500,0.5625
12600,0.5625
12700,0.53125
12800,0.46875
12900,0.625
13000,0.625
13100,0.5625
13200,0.625
13300,0.46875
13400,0.71875
13500,0.5625
13600,0.4375
13700,0.46875
13800,0.59375
13900,0.53125
14000,0.46875
14100,0.65625
14200,0.5625
14300,0.53125
14400,0.3125
14500,0.5625
14600,0.65625
14700,0.46875
14800,0.59375
14900,0.53125
15000,0.5625
15100,0.5625
15200,0.5
15300,0.5625
15400,0.46875
15500,0.46875
15600,0.46875
15700,0.5625
15800,0.65625
15900,0.625
16000,0.625
16100,0.5
16200,0.59375
16300,0.5625
16400,0.59375
16500,0.71875
16600,0.5625
16700,0.53125
16800,0.4375
16900,0.5
17000,0.53125
17100,0.6875
17200,0.625
17300,0.75
17400,0.65625
17500,0.59375
17600,0.59375
17700,0.59375
17800,0.65625
17900,0.71875
18000,0.46875
18100,0.46875
18200,0.5
18300,0.59375
18400,0.625
18500,0.46875
18600,0.5625
18700,0.5
18800,0.65625
18900,0.46875
19000,0.5625
19100,0.46875
19200,0.5
19300,0.5625
19400,0.71875
19500,0.46875
19600,0.59375
19700,0.625
19800,0.75
19900,0.625
20000,0.5625
20100,0.625
20200,0.53125
20300,0.59375
20400,0.53125
20500,0.53125
20600,0.71875
20700,0.65625
20800,0.65625
20900,0.59375
21000,0.59375
21100,0.53125
21200,0.6875
21300,0.53125
21400,0.625
21500,0.53125
21600,0.5625
21700,0.4375
21800,0.5
21900,0.6875
22000,0.5625
22100,0.59375
22200,0.625
22300,0.65625
22400,0.625
22500,0.46875
22600,0.5625
22700,0.71875
22800,0.71875
22900,0.53125
23000,0.75
23100,0.71875
23200,0.5625
23300,0.625
23400,0.46875
23500,0.5625
23600,0.40625
23700,0.40625
23800,0.625
23900,0.59375
24000,0.6875
24100,0.5
24200,0.5625
24300,0.59375
24400,0.4375
24500,0.71875
24600,0.71875
24700,0.6875
24800,0.59375
24900,0.65625
25000,0.5625
25100,0.53125
25200,0.625
25300,0.46875
25400,0.53125
25500,0.71875
25600,0.65625
25700,0.375
25800,0.71875
25900,0.40625
26000,0.625
26100,0.8125
26200,0.625
26300,0.53125
26400,0.625
26500,0.65625
26600,0.5
26700,0.4375
26800,0.5625
26900,0.5
27000,0.6875
27100,0.59375
27200,0.6875
27300,0.65625
27400,0.53125
27500,0.4375
27600,0.46875
27700,0.5625
27800,0.53125
27900,0.5
28000,0.53125
28100,0.5625
28200,0.5
28300,0.59375
28400,0.71875
28500,0.6875
28600,0.5625
28700,0.625
28800,0.5625
28900,0.75
29000,0.59375
29100,0.59375
29200,0.5
29300,0.65625
29400,0.65625
29500,0.59375
29600,0.5
29700,0.65625
29800,0.59375
29900,0.625
30000,0.625
30100,0.53125
30200,0.8125
30300,0.40625
30400,0.53125
30500,0.53125
30600,0.5
30700,0.78125
30800,0.59375
30900,0.625
31000,0.625
31100,0.625
31200,0.625
