step,loss
0,0.907943
100,0.291107
200,0.241857
300,0.236217
400,0.20491
500,0.226717
600,0.270888
700,0.300341
800,0.317637
900,0.222537
1000,0.253351
1100,0.277387
1200,0.205423
1300,0.241898
1400,0.216549
1500,0.232218
1600,0.268057
1700,0.195944
1800,0.213049
1900,0.207979
2000,0.224084
2100,0.225463
2200,0.269396
2300,0.251924
2400,0.23003
2500,0.233655
2600,0.263204
2700,0.277609
2800,0.19163
2900,0.213693
3000,0.197586
3100,0.217414
3200,0.176423
3300,0.255231
3400,0.192244
3500,0.242536
3600,0.262403
3700,0.203097
3800,0.168384
3900,0.198329
4000,0.236224
4100,0.241256
4200,0.235831
4300,0.242785
4400,0.297093
4500,0.188604
4600,0.24308
4700,0.240333
4800,0.297212
4900,0.271231
5000,0.228482
5100,0.202778
5200,0.216185
5300,0.233915
5400,0.238313
5500,0.16041
5600,0.177585
5700,0.151345
5800,0.240792
5900,0.230998
6000,0.191815
6100,0.232494
6200,0.1765
6300,0.215853
6400,0.252472
6500,0.173761
6600,0.214841
6700,0.200729
6800,0.175409
6900,0.177727
7000,0.196375
7100,0.173802
7200,0.197848
7300,0.242703
7400,0.159366
7500,0.200529
7600,0.217798
7700,0.19647
7800,0.158463
7900,0.208157
8000,0.186347
8100,0.197453
8200,0.168822
8300,0.217569
8400,0.174263
8500,0.18178
8600,0.259316
8700,0.212322
8800,0.296241
8900,0.19016
9000,0.293739
9100,0.192151
9200,0.180234
9300,0.187007
9400,0.24314
9500,0.148416
9600,0.136707
9700,0.160522
9800,0.160972
9900,0.212047
10000,0.2319
10100,0.179397
10200,0.204722
10300,0.172493
10400,0.143535
10500,0.164475
10600,0.192267
10700,0.195994
10800,0.197253
10900,0.181326
11000,0.157226
11100,0.234997
11200,0.190853
11300,0.166504
11400,0.199103
11500,0.22869
11600,0.226654
11700,0.188513
11800,0.162833
11900,0.181671
12000,0.213684
12100,0.210385
12200,0.178449
12300,0.184597
12400,0.172622
12500,0.1853
12600,0.127467
12700,0.192829
12800,0.160787
12900,0.15138
13000,0.175142
13100,0.172441
13200,0.159951
13300,0.205921
13400,0.134555
13500,0.15558
13600,0.185555
13700,0.200228
13800,0.193274
13900,0.225701
14000,0.1456
14100,0.172489
14200,0.139556
14300,0.155242
14400,0.192856
14500,0.183496
14600,0.152813
14700,0.206252
14800,0.208353
14900,0.125714
15000,0.22648
15100,0.1882
15200,0.157307
15300,0.186263
15400,0.17642
15500,0.182572
15600,0.16522
15700,0.12416
15800,0.138605
15900,0.104811
16000,0.156419
16100,0.145046
16200,0.192666
16300,0.134989
16400,0.167436
16500,0.18642
16600,0.152209
16700,0.141892
16800,0.149397
16900,0.151624
17000,0.144
17100,0.149438
17200,0.199258
17300,0.194371
17400,0.193094
17500,0.135568
17600,0.155445
17700,0.171501
17800,0.234293
17900,0.131134
18000,0.212388
18100,0.174259
18200,0.181572
18300,0.175412
18400,0.163607
18500,0.170672
18600,0.134607
18700,0.168217
18800,0.155623
18900,0.135482
19000,0.125181
19100,0.141369
19200,0.162379
19300,0.120986
19400,0.119194
19500,0.146248
19600,0.199683
19700,0.137082
19800,0.120403
19900,0.213342
20000,0.220387
20100,0.190076
20200,0.166488
20300,0.151245
20400,0.192586
20500,0.108892
20600,0.144962
20700,0.132542
20800,0.187934
20900,0.150922
21000,0.197588
21100,0.141571
21200,0.162975
21300,0.194748
21400,0.138043
21500,0.169213
21600,0.13237
21700,0.202205
21800,0.17935
21900,0.107339
22000,0.152474
22100,0.131034
22200,0.1395
22300,0.128922
22400,0.112182
22500,0.135052
22600,0.141063
22700,0.123829
22800,0.139203
22900,0.159664
23000,0.135221
23100,0.211477
23200,0.12801
23300,0.147978
23400,0.13681
23500,0.171782
23600,0.149375
23700,0.172457
23800,0.184275
23900,0.101954
24000,0.153518
24100,0.113658
24200,0.107561
24300,0.12056
24400,0.149655
24500,0.142827
24600,0.127541
24700,0.204895
24800,0.179108
24900,0.145515
25000,0.134369
25100,0.102181
25200,0.110199
25300,0.160414
25400,0.149543
25500,0.140396
25600,0.10341
25700,0.135845
25800,0.15243
25900,0.129586
26000,0.126926
26100,0.119101
26200,0.135072
26300,0.155999
26400,0.130676
26500,0.127859
26600,0.156836
26700,0.13123
26800,0.146954
26900,0.138806
27000,0.12295
27100,0.15025
27200,0.118087
27300,0.162031
27400,0.126764
27500,0.190686
27600,0.167212
27700,0.18774
27800,0.191284
27900,0.157236
28000,0.103486
28100,0.128792
28200,0.150281
28300,0.115461
28400,0.155341
28500,0.165276
28600,0.114137
28700,0.154153
28800,0.136934
28900,0.176103
29000,0.110925
29100,0.10835
29200,0.116689
29300,0.110439
29400,0.161222
29500,0.110745
29600,0.185187
29700,0.141729
29800,0.10786
29900,0.116653
30000,0.166783
30100,0.135264
30200,0.124366
30300,0.165676
30400,0.133031
30500,0.155977
30600,0.140954
30700,0.132262
30800,0.155054
30900,0.164315
31000,0.150957
31100,0.140882
31200,0.140932
