step,train_acc
0,0.375
100,0.5
200,0.65625
300,0.625
400,0.75
500,0.625
600,0.5
700,0.5
800,0.5625
900,0.625
1000,0.59375
1100,0.625
1200,0.6875
1300,0.71875
1400,0.65625
1500,0.65625
1600,0.46875
1700,0.78125
1800,0.75
1900,0.75
2000,0.625
2100,0.71875
2200,0.5625
2300,0.65625
2400,0.625
2500,0.65625
2600,0.625
2700,0.625
2800,0.8125
2900,0.75
3000,0.6875
3100,0.59375
3200,0.78125
3300,0.5625
3400,0.75
3500,0.625
3600,0.5625
3700,0.75
3800,0.78125
3900,0.75
4000,0.625
4100,0.625
4200,0.65625
4300,0.6875
4400,0.5
4500,0.71875
4600,0.71875
4700,0.59375
4800,0.5
4900,0.5
5000,0.71875
5100,0.75
5200,0.65625
5300,0.6875
5400,0.625
5500,0.84375
5600,0.78125
5700,0.84375
5800,0.65625
5900,0.59375
6000,0.75
6100,0.6875
6200,0.75
6300,0.65625
6400,0.5
6500,0.78125
6600,0.65625
6700,0.71875
6800,0.78125
6900,0.6875
7000,0.625
7100,0.71875
7200,0.78125
7300,0.65625
7400,0.75
7500,0.65625
7600,0.65625
7700,0.78125
7800,0.8125
7900,0.59375
8000,0.75
8100,0.75
8200,0.78125
8300,0.75
8400,0.8125
8500,0.75
8600,0.65625
8700,0.78125
8800,0.59375
8900,0.71875
9000,0.53125
9100,0.75
9200,0.75
9300,0.71875
9400,0.59375
9500,0.84375
9600,0.84375
9700,0.78125
9800,0.6875
9900,0.59375
10000,0.53125
10100,0.78125
10200,0.6875
10300,0.71875
10400,0.8125
10500,0.8125
10600,0.6875
10700,0.75
10800,0.71875
10900,0.78125
11000,0.84375
11100,0.65625
11200,0.71875
11300,0.78125
11400,0.71875
11500,0.6875
11600,0.6875
11700,0.78125
11800,0.71875
11900,0.75
12000,0.6875
12100,0.71875
12200,0.75
12300,0.71875
12400,0.84375
12500,0.65625
12600,0.875
12700,0.71875
12800,0.8125
12900,0.75
13000,0.78125
13100,0.78125
13200,0.75
13300,0.71875
13400,0.8125
13500,0.84375
13600,0.65625
13700,0.75
13800,0.6875
13900,0.625
14000,0.84375
14100,0.78125
14200,0.875
14300,0.8125
14400,0.6875
14500,0.71875
14600,0.875
14700,0.6875
14800,0.78125
14900,0.84375
15000,0.59375
15100,0.75
15200,0.8125
15300,0.75
15400,0.75
15500,0.8125
15600,0.75
15700,0.84375
15800,0.875
15900,0.90625
16000,0.8125
16100,0.84375
16200,0.71875
16300,0.875
16400,0.78125
16500,0.6875
16600,0.84375
16700,0.84375
16800,0.8125
16900,0.75
17000,0.84375
17100,0.8125
17200,0.71875
17300,0.6875
17400,0.625
17500,0.84375
17600,0.8125
17700,0.78125
17800,0.625
17900,0.90625
18000,0.65625
18100,0.8125
18200,0.71875
18300,0.71875
18400,0.78125
18500,0.78125
18600,0.875
18700,0.8125
18800,0.78125
18900,0.8125
19000,0.84375
19100,0.84375
19200,0.875
19300,0.875
19400,0.96875
19500,0.875
19600,0.6875
19700,0.84375
19800,0.78125
19900,0.59375
20000,0.65625
20100,0.71875
20200,0.78125
20300,0.875
20400,0.71875
20500,0.9375
20600,0.78125
20700,0.875
20800,0.75
20900,0.75
21000,0.75
21100,0.8125
21200,0.71875
21300,0.75
21400,0.875
21500,0.75
21600,0.90625
21700,0.71875
21800,0.84375
21900,0.9375
22000,0.84375
22100,0.875
22200,0.8125
22300,0.90625
22400,0.875
22500,0.75
22600,0.71875
22700,0.875
22800,0.84375
22900,0.78125
23000,0.875
23100,0.78125
23200,0.90625
23300,0.78125
23400,0.90625
23500,0.71875
23600,0.84375
23700,0.75
23800,0.75
23900,0.96875
24000,0.84375
24100,0.90625
24200,0.9375
24300,0.875
24400,0.78125
24500,0.78125
24600,0.875
24700,0.6875
24800,0.71875
24900,0.875
25000,0.78125
25100,0.96875
25200,0.90625
25300,0.78125
25400,0.84375
25500,0.875
25600,0.90625
25700,0.90625
25800,0.78125
25900,0.75
26000,0.875
26100,0.90625
26200,0.875
26300,0.8125
26400,0.90625
26500,0.84375
26600,0.875
26700,0.84375
26800,0.875
26900,0.90625
27000,0.84375
27100,0.75
27200,0.90625
27300,0.78125
27400,0.9375
27500,0.75
27600,0.78125
27700,0.75
27800,0.6875
27900,0.8125
28000,0.9375
28100,0.84375
28200,0.84375
28300,0.875
28400,0.75
28500,0.78125
28600,0.84375
28700,0.78125
28800,0.84375
28900,0.78125
29000,0.9375
29100,0.9375
29200,0.84375
29300,0.84375
29400,0.84375
29500,0.875
29600,0.6875
29700,0.8125
29800,0.9375
29900,0.875
30000,0.84375
30100,0.9375
30200,0.9375
30300,0.84375
30400,0.875
30500,0.84375
30600,0.84375
30700,0.84375
30800,0.78125
30900,0.78125
31000,0.84375
31100,0.875
31200,0.8125
